    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1            5            3            1          0.7            d
           2           10            1      0.33333          1.3            d
           3           10            1            1          0.7            b
           4           10            3      0.11111          0.9            c
           5           15            2      0.11111          0.9            d
           6           10            2      0.33333          1.1            b
           7           10            2            1          0.9            b
           8           20            1      0.11111          0.9            c
           9            5            2      0.33333          1.1            d
          10           20            1     0.037037          0.9            b
          11           15            3      0.33333          1.1            b
          12           20            3      0.11111          1.1            a
          13           10            1      0.33333          0.7            b
          14            5            2     0.037037          0.9            b
          15           15            1      0.33333          0.9            b
          16           10            2            1          1.3            d
          17           10            1      0.33333          1.3            b
          18           10            2      0.11111          0.9            d
          19           10            2     0.037037          1.3            d
          20            5            1            1          1.1            c
          21           10            2     0.037037          1.1            b
          22           15            3            1          0.7            c
          23           20            3      0.11111          1.1            b
          24           10            1            1          1.1            a
          25           15            3      0.33333          0.9            a
          26           10            3     0.037037          0.7            d
          27            5            2      0.33333          1.3            b
          28           10            1            1          0.7            a
          29           15            2      0.11111          0.9            a
          30           15            1            1          1.3            b
          31           15            3      0.33333          0.9            a
          32           20            2      0.11111          0.9            d
          33           10            2      0.33333          1.3            b
          34           10            2     0.037037          0.7            b
          35           10            2      0.11111          1.3            d
          36           10            1            1          1.3            b
          37            5            2      0.33333          1.3            b
          38           20            3      0.11111          0.7            b
          39           20            1      0.11111          0.9            c
          40           20            1            1          1.3            c
          41            5            1            1          0.7            b
          42           15            2      0.33333          0.7            d
          43           15            2     0.037037          0.7            d
          44            5            2      0.33333          0.7            d
          45            5            2      0.11111          0.9            d
          46           15            3     0.037037          1.1            d
          47           15            3      0.11111          0.9            d
          48           20            3      0.11111          0.9            d
          49           20            2      0.33333          0.7            b
          50           10            3            1          0.9            b
          51           15            1            1          0.9            b
          52           20            1     0.037037          0.9            c
          53           20            3      0.33333          1.1            a
          54            5            3      0.11111          1.3            b
          55           15            3     0.037037          1.3            b
          56           10            1            1          0.9            c
          57            5            1     0.037037          0.9            c
          58            5            1     0.037037          1.3            d
          59           15            2      0.33333          0.7            d
          60           15            1      0.33333          0.7            d
          61           20            3      0.33333          1.3            b
          62           20            1            1          1.3            b
          63           10            3      0.33333          0.9            a
          64            5            2      0.33333          1.1            b
          65           10            2      0.11111          1.1            d
          66           10            3     0.037037          1.1            b
          67           20            2      0.33333          1.1            b
          68           20            2      0.11111          0.9            b
          69           10            3      0.11111          1.1            b
          70            5            1     0.037037          0.7            d
          71           20            2     0.037037          1.1            c
          72            5            2      0.11111          1.1            b
          73            5            1            1          1.3            c
          74           10            3      0.33333          1.1            b
          75           15            3      0.11111          1.1            a
          76           20            2      0.11111          1.1            c
          77           20            1     0.037037          1.1            c
          78           15            2     0.037037          1.1            b
          79           15            2     0.037037          1.3            d
          80           20            2     0.037037          0.7            d
          81           10            2      0.33333          0.7            a
          82           20            2            1          0.9            b
          83           10            3      0.11111          1.1            a
          84            5            3      0.33333          0.9            a
          85           15            3      0.33333          1.1            b
          86           20            1      0.33333          1.1            a
          87            5            3     0.037037          1.1            b
          88            5            2            1          0.7            b
          89           15            3      0.11111          1.3            a
          90           15            1            1          0.7            c
          91           10            2            1          0.7            c
          92           15            1            1          0.7            c
          93           10            3      0.11111          0.9            c
          94            5            2      0.33333          0.7            b
          95           20            3     0.037037          1.3            d
          96           10            2            1          0.9            b
          97           10            2      0.11111          1.1            d
          98           15            1     0.037037          0.7            c
          99            5            1            1          1.3            d
         100           15            1      0.33333          0.9            d
         101           20            3            1          1.1            d
         102           15            3      0.11111          0.7            d
         103           20            3      0.33333          1.1            d
         104           15            1            1          0.7            c
         105            5            1     0.037037          0.7            d
         106           15            2      0.11111          0.9            b
         107           15            1      0.11111          0.9            a
         108           10            3     0.037037          1.3            a
         109           20            1     0.037037          0.7            b
         110           10            3      0.11111          0.7            a
         111           15            3            1          1.3            a
         112           20            3      0.11111          1.1            b
         113            5            2            1          1.3            d
         114            5            3      0.11111          0.7            c
         115           10            1            1          0.9            a
         116            5            3     0.037037          0.9            a
         117           15            2     0.037037          0.9            b
         118           20            3      0.11111          0.7            d
         119           20            2     0.037037          0.7            b
         120           10            3      0.11111          1.3            a
         121           15            1      0.33333          1.1            a
         122           10            1      0.11111          1.1            b
         123           15            3            1          0.7            c
         124            5            1            1          0.9            d
         125           10            1     0.037037          0.9            d
         126           10            3            1          1.1            b
         127            5            1            1          0.9            b
         128           15            2            1          1.3            c
         129            5            3            1          1.1            d
         130           20            3      0.33333          1.3            d
         131            5            3            1          1.1            b
         132           15            3            1          1.1            d
         133           10            2            1          1.3            d
         134            5            3      0.33333          0.9            c
         135            5            3      0.11111          1.1            b
         136            5            3            1          0.9            c
         137           15            1      0.33333          0.7            b
         138            5            1      0.11111          1.3            a
         139           20            1            1          1.1            b
         140           10            1            1          1.3            b
         141            5            1            1          1.3            b
         142           15            2     0.037037          1.3            c
         143           20            1            1          0.9            a
         144            5            1     0.037037          0.9            d
         145            5            3     0.037037          0.7            c
         146           10            2      0.33333          0.7            a
         147            5            1            1          1.1            a
         148            5            2     0.037037          0.7            b
         149           20            2     0.037037          1.3            c
         150           20            1      0.11111          1.1            b
         151           20            2      0.33333          0.7            a
         152            5            3      0.33333          1.3            b
         153           10            2      0.33333          0.7            b
         154           20            1            1          1.3            a
         155           15            3      0.11111          1.1            b
         156           20            2      0.11111          0.9            a
         157           20            1     0.037037          0.9            c
         158           15            3      0.11111          0.7            a
         159           15            2     0.037037          0.7            b
         160           20            1     0.037037          1.1            c
         161           20            2      0.11111          0.7            d
         162            5            2            1          0.7            a
         163           20            3      0.11111          0.9            a
         164           20            3      0.11111          0.9            b
         165           10            1      0.33333          1.3            a
         166           10            2      0.33333          1.3            b
         167           15            3      0.11111          0.7            b
         168            5            2      0.33333          1.1            d
         169            5            1     0.037037          1.3            c
         170           15            1      0.11111          1.3            c
         171           20            1            1          1.3            b
         172            5            1      0.33333          1.3            d
         173           20            3     0.037037          0.7            a
         174           10            3     0.037037          0.9            a
         175            5            2      0.11111          0.9            b
         176            5            1      0.11111          1.3            b
         177           15            3      0.33333          0.9            a
         178           15            1     0.037037          1.3            d
         179            5            3     0.037037          0.7            d
         180           10            2      0.33333          1.1            b
         181           10            2      0.33333          1.3            b
         182           20            2            1          1.3            a
         183           15            1      0.33333          1.1            a
         184           20            2     0.037037          1.3            b
         185           20            3      0.33333          1.1            a
         186           15            2     0.037037          1.1            b
         187           15            1     0.037037          1.3            b
         188           15            2      0.33333          1.3            b
         189            5            3      0.11111          0.7            b
         190           20            3     0.037037          0.7            a
         191            5            1     0.037037          0.9            b
         192           10            1     0.037037          1.1            b
