    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1            5            3      0.33333          0.9            c
           2           20            3            1          0.9            b
           3           10            3            1          1.1            d
           4           15            2            1          0.7            a
           5           15            1     0.037037          0.9            c
           6           10            1      0.33333          1.1            b
           7           10            1     0.037037          0.9            d
           8           20            1      0.33333          1.3            c
           9           10            2     0.037037          0.7            b
          10           15            2     0.037037          0.9            c
          11           20            2            1          1.1            a
          12           15            1      0.33333          1.3            d
          13            5            2     0.037037          0.7            a
          14           15            2            1          0.9            b
          15           20            1     0.037037          1.1            c
          16           15            1      0.11111          1.1            c
          17           20            1      0.33333          0.7            a
          18           20            3      0.11111          1.1            d
          19           10            2      0.33333          0.9            d
          20            5            3            1          0.7            c
          21           20            1      0.11111          1.3            c
          22            5            1      0.33333          0.7            c
          23           20            1            1          1.1            c
          24           15            1      0.11111          1.3            d
          25           20            3      0.33333          0.7            a
          26           20            1      0.11111          1.3            c
          27           10            1      0.33333          1.1            a
          28           20            2     0.037037          0.9            c
          29            5            1      0.11111          1.3            a
          30           15            2      0.33333          1.1            b
          31           10            3      0.33333          1.3            d
          32           10            3     0.037037          1.1            b
          33           10            1      0.33333          0.7            d
          34           15            2            1          1.3            b
          35           20            2     0.037037          1.1            c
          36            5            3      0.11111          0.7            c
          37           10            3            1          0.7            d
          38           10            2     0.037037          1.3            c
          39            5            3      0.33333          0.9            c
          40            5            1      0.33333          1.1            b
          41           10            3     0.037037          0.7            b
          42           20            2            1          0.9            a
          43           15            3     0.037037          0.7            b
          44           15            1      0.11111          0.9            d
          45           15            2     0.037037          0.9            d
          46           20            3      0.33333          1.3            a
          47           10            2            1          1.1            d
          48            5            3      0.33333          1.1            c
          49           10            3     0.037037          1.3            d
          50           20            3     0.037037          1.3            c
          51            5            1            1          0.7            c
          52           10            2     0.037037          0.7            d
          53           10            3      0.11111          0.9            d
          54           10            3      0.33333          0.9            d
          55           20            2      0.11111          0.9            c
          56           10            1      0.33333          1.1            b
          57           20            3      0.33333          1.3            a
          58            5            2      0.33333          1.1            b
          59           20            2     0.037037          1.1            c
          60            5            3            1          0.7            c
          61           10            3            1          0.7            d
          62           10            1      0.11111          0.7            b
          63           15            2     0.037037          0.7            d
          64           20            2     0.037037          0.9            c
